"Time.period","Region","type of journey","value","amount of journeys (thousands)","sort","journey_scope"
"Apr 2009 to Mar 2010","East Midlands","London thousands","7,647",7647,15,"Between regions"
"Apr 2009 to Mar 2010","East Midlands","South East thousands","871",871,15,"Between regions"
"Apr 2009 to Mar 2010","East Midlands","South West thousands","328",328,15,"Between regions"
"Apr 2009 to Mar 2010","East Midlands","Wales thousands","135",135,15,"Between regions"
"Apr 2009 to Mar 2010","East Midlands","Scotland thousands","163",163,15,"Between regions"
"Apr 2009 to Mar 2010","East Midlands","Journeys within East Midlands thousands","8,264",8264,15,"Within region"
"Apr 2009 to Mar 2010","East England","North East thousands","327",327,15,"Between regions"
"Apr 2009 to Mar 2010","East England","North West thousands","530",530,15,"Between regions"
"Apr 2009 to Mar 2010","East England","Yorkshire and the Humber thousands","831",831,15,"Between regions"
"Apr 2009 to Mar 2010","East England","East Midlands thousands","1,381",1381,15,"Between regions"
"Apr 2009 to Mar 2010","East England","West Midlands thousands","635",635,15,"Between regions"
"Apr 2009 to Mar 2010","East England","London thousands","105,203",105203,15,"Between regions"
"Apr 2009 to Mar 2010","East England","South East thousands","2,774",2774,15,"Between regions"
"Apr 2009 to Mar 2010","East England","South West thousands","511",511,15,"Between regions"
"Apr 2009 to Mar 2010","East England","Wales thousands","142",142,15,"Between regions"
"Apr 2009 to Mar 2010","East England","Scotland thousands","264",264,15,"Between regions"
"Apr 2009 to Mar 2010","East England","Journeys within East England thousands","26,842",26842,15,"Within region"
"Apr 2009 to Mar 2010","London","North East thousands","1,936",1936,15,"Between regions"
"Apr 2009 to Mar 2010","London","North West thousands","8,014",8014,15,"Between regions"
"Apr 2009 to Mar 2010","London","Yorkshire and the Humber thousands","5,508",5508,15,"Between regions"
"Apr 2009 to Mar 2010","London","East Midlands thousands","7,647",7647,15,"Between regions"
"Apr 2009 to Mar 2010","London","West Midlands thousands","8,725",8725,15,"Between regions"
"Apr 2009 to Mar 2010","London","East England thousands","105,203",105203,15,"Between regions"
"Apr 2009 to Mar 2010","London","South East thousands","164,232",164232,15,"Between regions"
"Apr 2009 to Mar 2010","London","South West thousands","10,320",10320,15,"Between regions"
"Apr 2009 to Mar 2010","London","Wales thousands","2,051",2051,15,"Between regions"
"Apr 2009 to Mar 2010","London","Scotland thousands","1,658",1658,15,"Between regions"
"Apr 2009 to Mar 2010","London","Journeys within London thousands","316,935",316935,15,"Within region"
"Apr 2009 to Mar 2010","North East","North West thousands","845",845,15,"Between regions"
"Apr 2009 to Mar 2010","North East","Yorkshire and the Humber thousands","2,257",2257,15,"Between regions"
"Apr 2009 to Mar 2010","North East","East Midlands thousands","225",225,15,"Between regions"
"Apr 2009 to Mar 2010","North East","West Midlands thousands","260",260,15,"Between regions"
"Apr 2009 to Mar 2010","North East","East England thousands","327",327,15,"Between regions"
"Apr 2009 to Mar 2010","North East","London thousands","1,936",1936,15,"Between regions"
"Apr 2009 to Mar 2010","North East","South East thousands","238",238,15,"Between regions"
"Apr 2009 to Mar 2010","North East","South West thousands","110",110,15,"Between regions"
"Apr 2009 to Mar 2010","North East","Wales thousands","37",37,15,"Between regions"
"Apr 2009 to Mar 2010","North East","Scotland thousands","1,467",1467,15,"Between regions"
"Apr 2009 to Mar 2010","North East","Journeys within North East thousands","5,437",5437,15,"Within region"
"Apr 2009 to Mar 2010","North West","North East thousands","845",845,15,"Between regions"
"Apr 2009 to Mar 2010","North West","Yorkshire and the Humber thousands","6,351",6351,15,"Between regions"
"Apr 2009 to Mar 2010","North West","East Midlands thousands","2,463",2463,15,"Between regions"
"Apr 2009 to Mar 2010","North West","West Midlands thousands","3,286",3286,15,"Between regions"
"Apr 2009 to Mar 2010","North West","East England thousands","530",530,15,"Between regions"
"Apr 2009 to Mar 2010","North West","London thousands","8,014",8014,15,"Between regions"
"Apr 2009 to Mar 2010","North West","South East thousands","1,187",1187,15,"Between regions"
"Apr 2009 to Mar 2010","North West","South West thousands","582",582,15,"Between regions"
"Apr 2009 to Mar 2010","North West","Wales thousands","1,616",1616,15,"Between regions"
"Apr 2009 to Mar 2010","North West","Scotland thousands","1,615",1615,15,"Between regions"
"Apr 2009 to Mar 2010","North West","Journeys within North West thousands","79,608",79608,15,"Within region"
"Apr 2009 to Mar 2010","Scotland","North East thousands","1,467",1467,15,"Between regions"
"Apr 2009 to Mar 2010","Scotland","North West thousands","1,615",1615,15,"Between regions"
"Apr 2009 to Mar 2010","Scotland","Yorkshire and the Humber thousands","864",864,15,"Between regions"
"Apr 2009 to Mar 2010","Scotland","East Midlands thousands","163",163,15,"Between regions"
"Apr 2009 to Mar 2010","Scotland","West Midlands thousands","291",291,15,"Between regions"
"Apr 2009 to Mar 2010","Scotland","East England thousands","264",264,15,"Between regions"
"Apr 2009 to Mar 2010","Scotland","London thousands","1,658",1658,15,"Between regions"
"Apr 2009 to Mar 2010","Scotland","South East thousands","200",200,15,"Between regions"
"Apr 2009 to Mar 2010","Scotland","South West thousands","78",78,15,"Between regions"
"Apr 2009 to Mar 2010","Scotland","Wales thousands","42",42,15,"Between regions"
"Apr 2009 to Mar 2010","Scotland","Journeys within Scotland thousands","73,153",73153,15,"Within region"
"Apr 2009 to Mar 2010","South East","North East thousands","238",238,15,"Between regions"
"Apr 2009 to Mar 2010","South East","North West thousands","1,187",1187,15,"Between regions"
"Apr 2009 to Mar 2010","South East","Yorkshire and the Humber thousands","626",626,15,"Between regions"
"Apr 2009 to Mar 2010","South East","East Midlands thousands","871",871,15,"Between regions"
"Apr 2009 to Mar 2010","South East","West Midlands thousands","2,317",2317,15,"Between regions"
"Apr 2009 to Mar 2010","South East","East England thousands","2,774",2774,15,"Between regions"
"Apr 2009 to Mar 2010","South East","London thousands","164,232",164232,15,"Between regions"
"Apr 2009 to Mar 2010","South East","South West thousands","5,727",5727,15,"Between regions"
"Apr 2009 to Mar 2010","South East","Wales thousands","597",597,15,"Between regions"
"Apr 2009 to Mar 2010","South East","Scotland thousands","200",200,15,"Between regions"
"Apr 2009 to Mar 2010","South East","Journeys within South East thousands","74,604",74604,15,"Within region"
"Apr 2009 to Mar 2010","South West","North East thousands","110",110,15,"Between regions"
"Apr 2009 to Mar 2010","South West","North West thousands","582",582,15,"Between regions"
"Apr 2009 to Mar 2010","South West","Yorkshire and the Humber thousands","413",413,15,"Between regions"
"Apr 2009 to Mar 2010","South West","East Midlands thousands","328",328,15,"Between regions"
"Apr 2009 to Mar 2010","South West","West Midlands thousands","1,460",1460,15,"Between regions"
"Apr 2009 to Mar 2010","South West","East England thousands","511",511,15,"Between regions"
"Apr 2009 to Mar 2010","South West","London thousands","10,320",10320,15,"Between regions"
"Apr 2009 to Mar 2010","South West","South East thousands","5,727",5727,15,"Between regions"
"Apr 2009 to Mar 2010","South West","Wales thousands","2,228",2228,15,"Between regions"
"Apr 2009 to Mar 2010","South West","Scotland thousands","78",78,15,"Between regions"
"Apr 2009 to Mar 2010","South West","Journeys within South West thousands","18,424",18424,15,"Within region"
"Apr 2009 to Mar 2010","Wales","North East thousands","37",37,15,"Between regions"
"Apr 2009 to Mar 2010","Wales","North West thousands","1,616",1616,15,"Between regions"
"Apr 2009 to Mar 2010","Wales","Yorkshire and the Humber thousands","145",145,15,"Between regions"
"Apr 2009 to Mar 2010","Wales","East Midlands thousands","135",135,15,"Between regions"
"Apr 2009 to Mar 2010","Wales","West Midlands thousands","1,053",1053,15,"Between regions"
"Apr 2009 to Mar 2010","Wales","East England thousands","142",142,15,"Between regions"
"Apr 2009 to Mar 2010","Wales","London thousands","2,051",2051,15,"Between regions"
"Apr 2009 to Mar 2010","Wales","South East thousands","597",597,15,"Between regions"
"Apr 2009 to Mar 2010","Wales","South West thousands","2,228",2228,15,"Between regions"
"Apr 2009 to Mar 2010","Wales","Scotland thousands","42",42,15,"Between regions"
"Apr 2009 to Mar 2010","Wales","Journeys within Wales thousands","18,000",18000,15,"Within region"
"Apr 2009 to Mar 2010","West Midlands","North East thousands","260",260,15,"Between regions"
"Apr 2009 to Mar 2010","West Midlands","North West thousands","3,286",3286,15,"Between regions"
"Apr 2009 to Mar 2010","West Midlands","Yorkshire and the Humber thousands","939",939,15,"Between regions"
"Apr 2009 to Mar 2010","West Midlands","East Midlands thousands","3,462",3462,15,"Between regions"
"Apr 2009 to Mar 2010","West Midlands","East England thousands","635",635,15,"Between regions"
"Apr 2009 to Mar 2010","West Midlands","London thousands","8,725",8725,15,"Between regions"
"Apr 2009 to Mar 2010","West Midlands","South East thousands","2,317",2317,15,"Between regions"
"Apr 2009 to Mar 2010","West Midlands","South West thousands","1,460",1460,15,"Between regions"
"Apr 2009 to Mar 2010","West Midlands","Wales thousands","1,053",1053,15,"Between regions"
"Apr 2009 to Mar 2010","West Midlands","Scotland thousands","291",291,15,"Between regions"
"Apr 2009 to Mar 2010","West Midlands","Journeys within West Midlands thousands","38,993",38993,15,"Within region"
"Apr 2009 to Mar 2010","Yorkshire and the Humber","North East thousands","2,257",2257,15,"Between regions"
"Apr 2009 to Mar 2010","Yorkshire and the Humber","North West thousands","6,351",6351,15,"Between regions"
"Apr 2009 to Mar 2010","Yorkshire and the Humber","East Midlands thousands","2,863",2863,15,"Between regions"
"Apr 2009 to Mar 2010","Yorkshire and the Humber","West Midlands thousands","939",939,15,"Between regions"
"Apr 2009 to Mar 2010","Yorkshire and the Humber","East England thousands","831",831,15,"Between regions"
"Apr 2009 to Mar 2010","Yorkshire and the Humber","London thousands","5,508",5508,15,"Between regions"
"Apr 2009 to Mar 2010","Yorkshire and the Humber","South East thousands","626",626,15,"Between regions"
"Apr 2009 to Mar 2010","Yorkshire and the Humber","South West thousands","413",413,15,"Between regions"
"Apr 2009 to Mar 2010","Yorkshire and the Humber","Wales thousands","145",145,15,"Between regions"
"Apr 2009 to Mar 2010","Yorkshire and the Humber","Scotland thousands","864",864,15,"Between regions"
"Apr 2009 to Mar 2010","Yorkshire and the Humber","Journeys within Yorkshire and the Humber thousands","35,100",35100,15,"Within region"
"Apr 2010 to Mar 2011","East Midlands","North East thousands","227",227,16,"Between regions"
"Apr 2010 to Mar 2011","East Midlands","North West thousands","2,623",2623,16,"Between regions"
"Apr 2010 to Mar 2011","East Midlands","Yorkshire and the Humber thousands","3,086",3086,16,"Between regions"
"Apr 2010 to Mar 2011","East Midlands","West Midlands thousands","3,597",3597,16,"Between regions"
"Apr 2010 to Mar 2011","East Midlands","East England thousands","1,463",1463,16,"Between regions"
"Apr 2010 to Mar 2011","East Midlands","London thousands","8,143",8143,16,"Between regions"
"Apr 2010 to Mar 2011","East Midlands","South East thousands","994",994,16,"Between regions"
"Apr 2010 to Mar 2011","East Midlands","South West thousands","346",346,16,"Between regions"
"Apr 2010 to Mar 2011","East Midlands","Wales thousands","142",142,16,"Between regions"
"Apr 2010 to Mar 2011","East Midlands","Scotland thousands","189",189,16,"Between regions"
"Apr 2010 to Mar 2011","East Midlands","Journeys within East Midlands thousands","8,232",8232,16,"Within region"
"Apr 2010 to Mar 2011","East England","North East thousands","333",333,16,"Between regions"
"Apr 2010 to Mar 2011","East England","North West thousands","580",580,16,"Between regions"
"Apr 2010 to Mar 2011","East England","Yorkshire and the Humber thousands","852",852,16,"Between regions"
"Apr 2010 to Mar 2011","East England","East Midlands thousands","1,463",1463,16,"Between regions"
"Apr 2010 to Mar 2011","East England","West Midlands thousands","707",707,16,"Between regions"
"Apr 2010 to Mar 2011","East England","London thousands","112,095",112095,16,"Between regions"
"Apr 2010 to Mar 2011","East England","South East thousands","3,060",3060,16,"Between regions"
"Apr 2010 to Mar 2011","East England","South West thousands","548",548,16,"Between regions"
"Apr 2010 to Mar 2011","East England","Wales thousands","147",147,16,"Between regions"
"Apr 2010 to Mar 2011","East England","Scotland thousands","295",295,16,"Between regions"
"Apr 2010 to Mar 2011","East England","Journeys within East England thousands","28,053",28053,16,"Within region"
"Apr 2010 to Mar 2011","London","North East thousands","1,995",1995,16,"Between regions"
"Apr 2010 to Mar 2011","London","North West thousands","8,416",8416,16,"Between regions"
"Apr 2010 to Mar 2011","London","Yorkshire and the Humber thousands","5,759",5759,16,"Between regions"
"Apr 2010 to Mar 2011","London","East Midlands thousands","8,143",8143,16,"Between regions"
"Apr 2010 to Mar 2011","London","West Midlands thousands","9,254",9254,16,"Between regions"
"Apr 2010 to Mar 2011","London","East England thousands","112,095",112095,16,"Between regions"
"Apr 2010 to Mar 2011","London","South East thousands","174,043",174043,16,"Between regions"
"Apr 2010 to Mar 2011","London","South West thousands","10,716",10716,16,"Between regions"
"Apr 2010 to Mar 2011","London","Wales thousands","2,162",2162,16,"Between regions"
"Apr 2010 to Mar 2011","London","Scotland thousands","1,963",1963,16,"Between regions"
"Apr 2010 to Mar 2011","London","Journeys within London thousands","371,713",371713,16,"Within region"
"Apr 2010 to Mar 2011","North East","North West thousands","908",908,16,"Between regions"
"Apr 2010 to Mar 2011","North East","Yorkshire and the Humber thousands","2,365",2365,16,"Between regions"
"Apr 2010 to Mar 2011","North East","East Midlands thousands","227",227,16,"Between regions"
"Apr 2010 to Mar 2011","North East","West Midlands thousands","250",250,16,"Between regions"
"Apr 2010 to Mar 2011","North East","East England thousands","333",333,16,"Between regions"
"Apr 2010 to Mar 2011","North East","London thousands","1,995",1995,16,"Between regions"
"Apr 2010 to Mar 2011","North East","South East thousands","252",252,16,"Between regions"
"Apr 2010 to Mar 2011","North East","South West thousands","114",114,16,"Between regions"
"Apr 2010 to Mar 2011","North East","Wales thousands","39",39,16,"Between regions"
"Apr 2010 to Mar 2011","North East","Scotland thousands","1,520",1520,16,"Between regions"
"Apr 2010 to Mar 2011","North East","Journeys within North East thousands","5,750",5750,16,"Within region"
"Apr 2010 to Mar 2011","North West","North East thousands","908",908,16,"Between regions"
"Apr 2010 to Mar 2011","North West","Yorkshire and the Humber thousands","6,871",6871,16,"Between regions"
"Apr 2010 to Mar 2011","North West","East Midlands thousands","2,623",2623,16,"Between regions"
"Apr 2010 to Mar 2011","North West","West Midlands thousands","3,658",3658,16,"Between regions"
"Apr 2010 to Mar 2011","North West","East England thousands","580",580,16,"Between regions"
"Apr 2010 to Mar 2011","North West","London thousands","8,416",8416,16,"Between regions"
"Apr 2010 to Mar 2011","North West","South East thousands","1,326",1326,16,"Between regions"
"Apr 2010 to Mar 2011","North West","South West thousands","628",628,16,"Between regions"
"Apr 2010 to Mar 2011","North West","Wales thousands","1,753",1753,16,"Between regions"
"Apr 2010 to Mar 2011","North West","Scotland thousands","1,855",1855,16,"Between regions"
"Apr 2010 to Mar 2011","North West","Journeys within North West thousands","82,939",82939,16,"Within region"
"Apr 2010 to Mar 2011","Scotland","North East thousands","1,520",1520,16,"Between regions"
"Apr 2010 to Mar 2011","Scotland","North West thousands","1,855",1855,16,"Between regions"
"Apr 2010 to Mar 2011","Scotland","Yorkshire and the Humber thousands","887",887,16,"Between regions"
"Apr 2010 to Mar 2011","Scotland","East Midlands thousands","189",189,16,"Between regions"
"Apr 2010 to Mar 2011","Scotland","West Midlands thousands","311",311,16,"Between regions"
"Apr 2010 to Mar 2011","Scotland","East England thousands","295",295,16,"Between regions"
"Apr 2010 to Mar 2011","Scotland","London thousands","1,963",1963,16,"Between regions"
"Apr 2010 to Mar 2011","Scotland","South East thousands","247",247,16,"Between regions"
"Apr 2010 to Mar 2011","Scotland","South West thousands","100",100,16,"Between regions"
"Apr 2010 to Mar 2011","Scotland","Wales thousands","51",51,16,"Between regions"
"Apr 2010 to Mar 2011","Scotland","Journeys within Scotland thousands","75,780",75780,16,"Within region"
"Apr 2010 to Mar 2011","South East","North East thousands","252",252,16,"Between regions"
"Apr 2010 to Mar 2011","South East","North West thousands","1,326",1326,16,"Between regions"
"Apr 2010 to Mar 2011","South East","Yorkshire and the Humber thousands","659",659,16,"Between regions"
"Apr 2010 to Mar 2011","South East","East Midlands thousands","994",994,16,"Between regions"
"Apr 2010 to Mar 2011","South East","West Midlands thousands","2,510",2510,16,"Between regions"
"Apr 2010 to Mar 2011","South East","East England thousands","3,060",3060,16,"Between regions"
"Apr 2010 to Mar 2011","South East","London thousands","174,043",174043,16,"Between regions"
"Apr 2010 to Mar 2011","South East","South West thousands","6,149",6149,16,"Between regions"
"Apr 2010 to Mar 2011","South East","Wales thousands","642",642,16,"Between regions"
"Apr 2010 to Mar 2011","South East","Scotland thousands","247",247,16,"Between regions"
"Apr 2010 to Mar 2011","South East","Journeys within South East thousands","76,697",76697,16,"Within region"
"Apr 2010 to Mar 2011","South West","North East thousands","114",114,16,"Between regions"
"Apr 2010 to Mar 2011","South West","North West thousands","628",628,16,"Between regions"
"Apr 2010 to Mar 2011","South West","Yorkshire and the Humber thousands","426",426,16,"Between regions"
"Apr 2010 to Mar 2011","South West","East Midlands thousands","346",346,16,"Between regions"
"Apr 2010 to Mar 2011","South West","West Midlands thousands","1,471",1471,16,"Between regions"
"Apr 2010 to Mar 2011","South West","East England thousands","548",548,16,"Between regions"
"Apr 2010 to Mar 2011","South West","London thousands","10,716",10716,16,"Between regions"
"Apr 2010 to Mar 2011","South West","South East thousands","6,149",6149,16,"Between regions"
"Apr 2010 to Mar 2011","South West","Wales thousands","2,404",2404,16,"Between regions"
"Apr 2010 to Mar 2011","South West","Scotland thousands","100",100,16,"Between regions"
"Apr 2010 to Mar 2011","South West","Journeys within South West thousands","20,273",20273,16,"Within region"
"Apr 2010 to Mar 2011","Wales","North East thousands","39",39,16,"Between regions"
"Apr 2010 to Mar 2011","Wales","North West thousands","1,753",1753,16,"Between regions"
"Apr 2010 to Mar 2011","Wales","Yorkshire and the Humber thousands","156",156,16,"Between regions"
"Apr 2010 to Mar 2011","Wales","East Midlands thousands","142",142,16,"Between regions"
"Apr 2010 to Mar 2011","Wales","West Midlands thousands","1,093",1093,16,"Between regions"
"Apr 2010 to Mar 2011","Wales","East England thousands","147",147,16,"Between regions"
"Apr 2010 to Mar 2011","Wales","London thousands","2,162",2162,16,"Between regions"
"Apr 2010 to Mar 2011","Wales","South East thousands","642",642,16,"Between regions"
"Apr 2010 to Mar 2011","Wales","South West thousands","2,404",2404,16,"Between regions"
"Apr 2010 to Mar 2011","Wales","Scotland thousands","51",51,16,"Between regions"
"Apr 2010 to Mar 2011","Wales","Journeys within Wales thousands","18,685",18685,16,"Within region"
"Apr 2010 to Mar 2011","West Midlands","North East thousands","250",250,16,"Between regions"
"Apr 2010 to Mar 2011","West Midlands","North West thousands","3,658",3658,16,"Between regions"
"Apr 2010 to Mar 2011","West Midlands","Yorkshire and the Humber thousands","954",954,16,"Between regions"
"Apr 2010 to Mar 2011","West Midlands","East Midlands thousands","3,597",3597,16,"Between regions"
"Apr 2010 to Mar 2011","West Midlands","East England thousands","707",707,16,"Between regions"
"Apr 2010 to Mar 2011","West Midlands","London thousands","9,254",9254,16,"Between regions"
"Apr 2010 to Mar 2011","West Midlands","South East thousands","2,510",2510,16,"Between regions"
"Apr 2010 to Mar 2011","West Midlands","South West thousands","1,471",1471,16,"Between regions"
"Apr 2010 to Mar 2011","West Midlands","Wales thousands","1,093",1093,16,"Between regions"
"Apr 2010 to Mar 2011","West Midlands","Scotland thousands","311",311,16,"Between regions"
"Apr 2010 to Mar 2011","West Midlands","Journeys within West Midlands thousands","40,170",40170,16,"Within region"
"Apr 2010 to Mar 2011","Yorkshire and the Humber","North East thousands","2,365",2365,16,"Between regions"
"Apr 2010 to Mar 2011","Yorkshire and the Humber","North West thousands","6,871",6871,16,"Between regions"
"Apr 2010 to Mar 2011","Yorkshire and the Humber","East Midlands thousands","3,086",3086,16,"Between regions"
"Apr 2010 to Mar 2011","Yorkshire and the Humber","West Midlands thousands","954",954,16,"Between regions"
"Apr 2010 to Mar 2011","Yorkshire and the Humber","East England thousands","852",852,16,"Between regions"
"Apr 2010 to Mar 2011","Yorkshire and the Humber","London thousands","5,759",5759,16,"Between regions"
"Apr 2010 to Mar 2011","Yorkshire and the Humber","South East thousands","659",659,16,"Between regions"
"Apr 2010 to Mar 2011","Yorkshire and the Humber","South West thousands","426",426,16,"Between regions"
"Apr 2010 to Mar 2011","Yorkshire and the Humber","Wales thousands","156",156,16,"Between regions"
"Apr 2010 to Mar 2011","Yorkshire and the Humber","Scotland thousands","887",887,16,"Between regions"
"Apr 2010 to Mar 2011","Yorkshire and the Humber","Journeys within Yorkshire and the Humber thousands","38,802",38802,16,"Within region"
"Apr 2011 to Mar 2012","East Midlands","North East thousands","232",232,17,"Between regions"
"Apr 2011 to Mar 2012","East Midlands","North West thousands","2,721",2721,17,"Between regions"
"Apr 2011 to Mar 2012","East Midlands","Yorkshire and the Humber thousands","3,259",3259,17,"Between regions"
"Apr 2011 to Mar 2012","East Midlands","West Midlands thousands","3,781",3781,17,"Between regions"
"Apr 2011 to Mar 2012","East Midlands","East England thousands","1,520",1520,17,"Between regions"
"Apr 2011 to Mar 2012","East Midlands","London thousands","8,429",8429,17,"Between regions"
"Apr 2011 to Mar 2012","East Midlands","South East thousands","1,062",1062,17,"Between regions"
"Apr 2011 to Mar 2012","East Midlands","South West thousands","353",353,17,"Between regions"
"Apr 2011 to Mar 2012","East Midlands","Wales thousands","141",141,17,"Between regions"
"Apr 2011 to Mar 2012","East Midlands","Scotland thousands","191",191,17,"Between regions"
"Apr 2011 to Mar 2012","East Midlands","Journeys within East Midlands thousands","8,428",8428,17,"Within region"
"Apr 2011 to Mar 2012","East England","North East thousands","339",339,17,"Between regions"
"Apr 2011 to Mar 2012","East England","North West thousands","611",611,17,"Between regions"
"Apr 2011 to Mar 2012","East England","Yorkshire and the Humber thousands","892",892,17,"Between regions"
"Apr 2011 to Mar 2012","East England","East Midlands thousands","1,520",1520,17,"Between regions"
"Apr 2011 to Mar 2012","East England","West Midlands thousands","747",747,17,"Between regions"
"Apr 2011 to Mar 2012","East England","London thousands","115,940",115940,17,"Between regions"
"Apr 2011 to Mar 2012","East England","South East thousands","3,252",3252,17,"Between regions"
"Apr 2011 to Mar 2012","East England","South West thousands","614",614,17,"Between regions"
"Apr 2011 to Mar 2012","East England","Wales thousands","161",161,17,"Between regions"
"Apr 2011 to Mar 2012","East England","Scotland thousands","277",277,17,"Between regions"
"Apr 2011 to Mar 2012","East England","Journeys within East England thousands","28,731",28731,17,"Within region"
"Apr 2011 to Mar 2012","London","North East thousands","2,136",2136,17,"Between regions"
"Apr 2011 to Mar 2012","London","North West thousands","8,841",8841,17,"Between regions"
"Apr 2011 to Mar 2012","London","Yorkshire and the Humber thousands","5,980",5980,17,"Between regions"
"Apr 2011 to Mar 2012","London","East Midlands thousands","8,429",8429,17,"Between regions"
"Apr 2011 to Mar 2012","London","West Midlands thousands","9,904",9904,17,"Between regions"
"Apr 2011 to Mar 2012","London","East England thousands","115,940",115940,17,"Between regions"
"Apr 2011 to Mar 2012","London","South East thousands","181,658",181658,17,"Between regions"
"Apr 2011 to Mar 2012","London","South West thousands","11,294",11294,17,"Between regions"
"Apr 2011 to Mar 2012","London","Wales thousands","2,232",2232,17,"Between regions"
"Apr 2011 to Mar 2012","London","Scotland thousands","2,061",2061,17,"Between regions"
"Apr 2011 to Mar 2012","London","Journeys within London thousands","403,751",403751,17,"Within region"
"Apr 2011 to Mar 2012","North East","North West thousands","947",947,17,"Between regions"
"Apr 2011 to Mar 2012","North East","Yorkshire and the Humber thousands","2,435",2435,17,"Between regions"
"Apr 2011 to Mar 2012","North East","East Midlands thousands","232",232,17,"Between regions"
"Apr 2011 to Mar 2012","North East","West Midlands thousands","249",249,17,"Between regions"
"Apr 2011 to Mar 2012","North East","East England thousands","339",339,17,"Between regions"
"Apr 2011 to Mar 2012","North East","London thousands","2,136",2136,17,"Between regions"
"Apr 2011 to Mar 2012","North East","South East thousands","265",265,17,"Between regions"
"Apr 2011 to Mar 2012","North East","South West thousands","114",114,17,"Between regions"
"Apr 2011 to Mar 2012","North East","Wales thousands","40",40,17,"Between regions"
"Apr 2011 to Mar 2012","North East","Scotland thousands","1,576",1576,17,"Between regions"
"Apr 2011 to Mar 2012","North East","Journeys within North East thousands","5,848",5848,17,"Within region"
"Apr 2011 to Mar 2012","North West","North East thousands","947",947,17,"Between regions"
"Apr 2011 to Mar 2012","North West","Yorkshire and the Humber thousands","7,397",7397,17,"Between regions"
"Apr 2011 to Mar 2012","North West","East Midlands thousands","2,721",2721,17,"Between regions"
"Apr 2011 to Mar 2012","North West","West Midlands thousands","3,896",3896,17,"Between regions"
"Apr 2011 to Mar 2012","North West","East England thousands","611",611,17,"Between regions"
"Apr 2011 to Mar 2012","North West","London thousands","8,841",8841,17,"Between regions"
"Apr 2011 to Mar 2012","North West","South East thousands","1,388",1388,17,"Between regions"
"Apr 2011 to Mar 2012","North West","South West thousands","625",625,17,"Between regions"
"Apr 2011 to Mar 2012","North West","Wales thousands","1,853",1853,17,"Between regions"
"Apr 2011 to Mar 2012","North West","Scotland thousands","1,942",1942,17,"Between regions"
"Apr 2011 to Mar 2012","North West","Journeys within North West thousands","84,962",84962,17,"Within region"
"Apr 2011 to Mar 2012","Scotland","North East thousands","1,576",1576,17,"Between regions"
"Apr 2011 to Mar 2012","Scotland","North West thousands","1,942",1942,17,"Between regions"
"Apr 2011 to Mar 2012","Scotland","Yorkshire and the Humber thousands","893",893,17,"Between regions"
"Apr 2011 to Mar 2012","Scotland","East Midlands thousands","191",191,17,"Between regions"
"Apr 2011 to Mar 2012","Scotland","West Midlands thousands","279",279,17,"Between regions"
"Apr 2011 to Mar 2012","Scotland","East England thousands","277",277,17,"Between regions"
"Apr 2011 to Mar 2012","Scotland","London thousands","2,061",2061,17,"Between regions"
"Apr 2011 to Mar 2012","Scotland","South East thousands","242",242,17,"Between regions"
"Apr 2011 to Mar 2012","Scotland","South West thousands","90",90,17,"Between regions"
"Apr 2011 to Mar 2012","Scotland","Wales thousands","48",48,17,"Between regions"
"Apr 2011 to Mar 2012","Scotland","Journeys within Scotland thousands","79,541",79541,17,"Within region"
"Apr 2011 to Mar 2012","South East","North East thousands","265",265,17,"Between regions"
"Apr 2011 to Mar 2012","South East","North West thousands","1,388",1388,17,"Between regions"
"Apr 2011 to Mar 2012","South East","Yorkshire and the Humber thousands","703",703,17,"Between regions"
"Apr 2011 to Mar 2012","South East","East Midlands thousands","1,062",1062,17,"Between regions"
"Apr 2011 to Mar 2012","South East","West Midlands thousands","2,656",2656,17,"Between regions"
"Apr 2011 to Mar 2012","South East","East England thousands","3,252",3252,17,"Between regions"
"Apr 2011 to Mar 2012","South East","London thousands","181,658",181658,17,"Between regions"
"Apr 2011 to Mar 2012","South East","South West thousands","6,337",6337,17,"Between regions"
"Apr 2011 to Mar 2012","South East","Wales thousands","682",682,17,"Between regions"
"Apr 2011 to Mar 2012","South East","Scotland thousands","242",242,17,"Between regions"
"Apr 2011 to Mar 2012","South East","Journeys within South East thousands","78,587",78587,17,"Within region"
"Apr 2011 to Mar 2012","South West","North East thousands","114",114,17,"Between regions"
"Apr 2011 to Mar 2012","South West","North West thousands","625",625,17,"Between regions"
"Apr 2011 to Mar 2012","South West","Yorkshire and the Humber thousands","420",420,17,"Between regions"
"Apr 2011 to Mar 2012","South West","East Midlands thousands","353",353,17,"Between regions"
"Apr 2011 to Mar 2012","South West","West Midlands thousands","1,501",1501,17,"Between regions"
"Apr 2011 to Mar 2012","South West","East England thousands","614",614,17,"Between regions"
"Apr 2011 to Mar 2012","South West","London thousands","11,294",11294,17,"Between regions"
"Apr 2011 to Mar 2012","South West","South East thousands","6,337",6337,17,"Between regions"
"Apr 2011 to Mar 2012","South West","Wales thousands","2,602",2602,17,"Between regions"
"Apr 2011 to Mar 2012","South West","Scotland thousands","90",90,17,"Between regions"
"Apr 2011 to Mar 2012","South West","Journeys within South West thousands","22,028",22028,17,"Within region"
"Apr 2011 to Mar 2012","Wales","North East thousands","40",40,17,"Between regions"
